,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
618,Theft,5758 S. Maryland (DCAM),11/3/10 3:37 PM,11/3/10 3:20 PM,Wallet taken from unattended purse left in unsecured room,Open,W1352
619,Theft,5815 S. Maryland (Mitchell Hospital),11/3/10 3:50 PM,11/2/10 12:45 PM to 1:20 PM,Unknown person took wallet from purse hanging on rear of chair while woman was dining / Subsequent unauthorized use of credit cards reported,Open,W1353
620,Fire Alarm,5750 S. Woodlawn (Nursery School),11/3/10 4:10 PM,11/3/10 4:10 PM,Broken steam pipe in utility room triggered alarm / No smoke or fire / CFD responded,Closed,W1354
621,Lost Property,5815 S. Maryland (Mitchell Hospital),11/3/10 7:10 PM,11/3/10 3:00 PM to 5:45 PM,Visitor lost her purse while in a public restroom / Unable to later locate the purse,Closed,W1355
622,Stalking,51st between Cornell and Hyde Park,11/4/10 5:22 PM,9/28/10 8:30 AM,Report of stalking incident by an ex-boyfriend,Open,W1356
623,Aggravated Robbery,5600 S. Lake Park (Metra Platform),11/4/10 11:24 PM,11/4/10 11:05 PM,"Three unknown males, implying they were armed, took $28 cash from a man waiting for a southbound Metra train / No weapons displayed",Open,W1357
624,Smoke Report,1401 E. Hyde Park (Carlson Hall),11/5/10 9:02 AM,11/5/10 9:00 AM,"UCPD and CFD responded to call of smoke present on the 7th floor of the building / Smoke caused by overheated, unattended coffee pot / No apparent damage",Closed,W1358
625,Telephone Threats,58th between Cottage Grove & Drexel,11/5/10 11:42 AM,10/25/10 2:00 PM,Report of a threatening phone call from a known individual,Open,W1359
626,Motor Vehicle Theft,Stony Island between 56th & 57th,11/5/10 1:42 PM,11/5/10 12:00 PM to 1:00 PM,2003 Ford Cargo Van taken from parking space on the street,Open,W1360
627,Injured Person,Kimbark between 51st & 52nd,11/6/10 1:17 AM,11/6/10 1:17 AM,Man slipped and fell cutting his arm while at a private residence / Transported to ER by CFD EMS,Closed,W1361
628,Lost Property,5514 S. University (Pierce Hall),11/6/10 2:32 PM,11/6/10 11:00 AM to 12:15 PM,Woman reported losing her wallet - possibly while in dinning area,Closed,W1362
629,Aggravated Battery,Ellis between 54th & 55th,11/7/10 6:10 PM,11/7/10 6:05 PM,A woman walking on the sidewalk was struck on the head with a stick without provocation by an unknown young female who was walking with a male companion,Open,W1363
630,Theft,Kimbark between 51st & 52nd,11/7/10 9:15 PM,11/6/10 1:30 AM to 2:00 AM,Unattended laptop computer taken during a party in a private residence,Open,W1365
631,Burglary,54th between Woodlawn & Kimbark,11/7/10 9:16 PM,11/7/10 5:00 PM to 9:00 PM,Unknown person entered residence via unsecured front window / Took laptop computer,Open,W1364
632,Criminal Trespass to Land,5625 S. Ellis (Max Palevsky West),11/7/10 10:46 PM,11/7/10 10:46 PM,"Staff member observed a person believed to be a non-resident in the building / UCPD conducted ""walk-through"" of entire complex / No unauthorized person found",Closed,W1366
633,Theft,5815 S. Maryland (Mitchell Hospital),11/8/10 3:11 PM,11/8/10 11:40 AM to 12:15 PM,Unknown person took cash from pocket of a coat placed on the back of a chair while woman dined in 2nd floor cafe,Open,W1372
634,Criminal Sexual Abuse,Dorchester between 53rd & 54th,11/8/10 4:01 PM,11/8/10 3:58 PM,Unknown male approached woman in the vestibule of apartment building and placed his hand on her buttock / Woman threw hot coffee on the suspect and he fled the building,Open,W1367
635,Injured Person,5758 S. Maryland (DCAM),11/8/10 5:51 PM,11/8/10 12:30 PM to 1:00 PM,Senior citizen walking in DCAM lobby tripped by baby stroller fell to the floor / Declined treatment,Closed,W1368
636,Theft,924 E. 57th St. (BSLC),11/8/10 7:16 PM,11/8/10 8:55 AM to 7:05 PM,Unknown person took secured bike and lock from bike rack,Open,W1369
637,Burglary,6022 S. Drexel (Midway Residence Hall),11/8/10 9:37 PM,11/8/10 9:37 PM,Unknown male suspects entered building by forcing glass in entry door / took one bicycle from storage room before they were observed and ran off,Open,W1370
638,Burglary,54th between Woodlawn & Kimbark,11/9/10 1:41 AM,11/8/10 to 11/9/10 11:15 AM to 1:15 AM,"Unknown person entered apartment via an unlocked rear window / Took Sony digital camera, jewelry, and a personal check",Open,W1371
639,Criminal Damage to Property,62nd between Ellis & Greenwood,11/9/10 7:06 AM,11/9/10 6:55 AM,Unknown person broke first floor window of residence,Open,W1373
640,Burglary,Ellis between 54th & 55th,11/9/10 1:04 PM,11/9/10 9:30 AM to 10:15 AM,Unknown person entered residential apartment and took a laptop computer / No sign of forced entry,Open,W1374
641,Void,Void,Void,Void,Void,Void,W1375
642,Theft from Motor Vehicle,Woodlawn between 60th & 61st,11/9/10 2:28 PM,11/9/10 6:30 AM to 2:20 PM,Unknown person broke passenger's side vent window of vehicle and took GPS device,Open,W1376
643,Lost Property,5807 S. Woodlawn (Booth School),11/9/10 4:41 PM,11/9/10 9:30 AM,Woman reported losing her wallet somewhere in the building,Closed,W1377
644,Burglary,57th between Harper & Lake Park,11/9/10 7:08 PM,11/9/10 6:15 PM to 6:55 PM,Unknown person entered apartment / Took 3 laptop computers and an i-Pod / No sign of forced entry,Open,W1378
645,Liquor Law Violation,Ellis between 60th & 61st,11/10/10 2:29 AM,11/10/10 2:29 AM,"Underage person, apparently intoxicated, found laying on the sidewalk / Transported to ER by CFD EMS",Closed,W1379
646,Attempt Armed Robbery,Cottage Grove between 61st & 62nd,11/10/10 9:31 AM,11/10/10 9:30 AM,Unknown male armed with a handgun approached a man walking on the street and demanded his property / Victim called the police and the suspect walked off before police arrived,Open,W1380
647,Miscellaneous,55th Pl. between Dorchester & Blackstone,11/10/10 12:15 PM,11/9/10 12:00 PM,Woman reported an unknown male approached her on the street and offered her a job posing for photos,Closed,W1381
648,Domestic Battery,5815 S. Maryland (Mitchell Hospital),11/10/10 9:15 PM,11/10/10 9:05 PM,Male subject shoved his female companion during an argument and created a disturbance in the hospital / Arrest by UCPD,Arrest,W1382
649,Burglary,54th between Woodlawn & Kimbark,11/10/10 11:49 PM,11/10/10 7:30 PM to 11:30 PM,Unknown person gained entry to residence via an unsecured rear window / Took Sony Vaio laptop computer,Open,W1383
650,Burglary,6043 S. Drexel (Construction Site),11/11/10 5:38 AM,11/11/10 1:30 AM to 5:30 AM,"Unknown person(s) forced entry to construction trailer / Took 3 Dell laptop computers, two Canon cameras, Minolta camera",Open,W1384
651,Suspicious Activity,1050 E. 59th St. (Wieboldt Hall),11/11/10 7:30 AM,11/10/10 to 11/11/10 7:00 PM to 7:30 AM,Iron grates removed from window wells of building / Facilities notified,Closed,W1385
652,Lost Property,5706 S. University (Reynolds Club),11/11/10 11:48 AM,7/30/10 11:00 AM to 1:30 PM,Night deposit of $255 missing and can not be accounted for,Closed,W1386
653,Theft,59th between Greenwood & University,11/11/10 1:12 PM,11/11/10 10:30 AM to 12:00 PM,Bicycle locked to sign post taken,Open,W1387
654,Theft,5812 S. Ellis (Brain Research),11/11/10 3:20 PM,11/11/10 2:50 PM,Man left his i-Phone in washroom / Returned within a few minutes and found phone was taken by an unknown person,Open,W1390
655,Criminal Sexual Abuse,Blackstone between 50th & 51st,11/11/10 3:25 PM,11/10/10 8:25 PM,Male subject approached woman from the rear on the street and grabbed her buttock / Woman yelled and suspect fled,Open,W1389
656,Burglary,University between 54th & 55th,11/11/10 7:28 PM,11/11/10 2:00 PM to 7:00 PM,Unknown person gained entry to residence via unsecured rear door / Took two computers and jewelry,Open,W1391
657,Theft,1131 E. 57th St. (Hutchinson Hall),11/11/10 8:52 PM,11/11/10 8:20 PM,Two individuals took food from dining area without paying / 3 Arrests by UCPD on 11/18/10,Arrest,W1392
658,Robbery,University between 60th & 61st,11/11/10 9:22 PM,11/11/10 9:20 PM,Man walking on the sidewalk was confronted by 6 unknown males / Victim was struck on the head and his i-Touch music player was taken,Open,W1393
659,Aggravated Battery,Midway Pl. between Greenwood & University,11/11/10 9:33 PM,11/11/10 9:30 PM,Man walking across Midway near Linne statue was confronted by 4 unknown males and struck on the head without provocation / Transported to ER by CFD EMS,Open,W1394
660,Theft from Motor Vehicle,54th at Drexel,11/12/10 8:56 AM,11/11/10 to 11/12/10 4:30 PM to 8:45 AM,Unknown person shattered driver's side window of car parked on the street / GPS and i-Pod taken,Open,W1395
661,Suspicious Activity,5844 S. University (Green Hall),11/12/10 12:52 PM,11/12/10 5:30 AM,Report of a suspicious man seen in the building in the early morning hours,Closed,W1396
662,Theft,5841 S. Maryland (Lying-In Hospital),11/12/10 1:33 PM,11/2/10 to 11/12/10 12:30 PM to 12:30 PM,Two Dell laptop computers taken from room / Door lock malfunctioning,Open,W1397
663,Criminal Damage to Property,5530 S. Ellis (Ratner AC),11/12/10 4:14 PM,11/12/10 3:50 PM,Unknown person damaged two lockers damaged in men's locker room,Open,W1398
664,Fire Alarm,5709 S. Ellis (Snell Hall),11/13/10 12:38 AM,11/13/10 12:38 AM,Alarm malfunction / CFD responded,Closed,W1400
665,Liquor Law Violation,Ellis between 60th & 61st,11/13/10 1:06 AM,11/13/10 1:06 AM,UCPD responded to a call of an unresponsive person in a washroom / CFD arrived and transported underage person to hospital for observation,Open,W1401
666,Robbery,53rd between Greenwood & University,11/13/10 1:11 AM,11/13/10 1:10 AM,"Man walking on the sidewalk pushed into an alley by 5-6 unknown males who struck him in the face and took his cell phone, i-Pod and wallet",Open,W1399
667,Criminal Trespass to Land,5828 S. University (Pick Hall),11/13/10 10:17 AM,11/13/10 10:17 AM,UCPD officer discovered an unauthorized male in the student/faculty lounge / Suspect fled building / Arrested by UCPD after a brief chase,Arrest,W1402
668,Injured Person,Kimbark between 58th & 59th,11/13/10 12:17 PM,11/13/10 10:20 AM,Two UCPD officers injured while taking a suspect into custody,Closed,W1403
669,Theft,5550 S. University (Crown Fieldhouse),11/13/10 12:27 PM,11/13/10 11:20 AM to 12:10 PM,Unknown person took wallet from the pocket of unattended jacket placed on the floor in gym,Open,W1404
670,Theft,5514 S. University (Pierce Hall),11/13/10 4:51 PM,11/13/10 12:00 AM to 9:30 AM,Unattended laptop computer taken from student lounge,Open,W1405
671,Theft,Kimbark between 57th & 58th,11/13/10 5:58 PM,11/7/10 to 11/13/10 7:00 PM to 6:30 PM,Unknown person took secured bicycle from bike rack,Open,W1406
672,Information,Ellis between 54th & 55th,11/13/10 11:56 PM,11/13/10 11:05 PM,Complaint relating to the conduct of a police officer / Chicago police investigation initiated,Open,W1407
673,Damage to Property,1106 E. 53rd (REO Bldg.),11/14/10 3:52 AM,11/14/10 2:00 AM,Pane of glass in entry door broken / Maintenance on scene,Closed,W1408
674,Criminal Trespass to Land,1116 E. 59th St. (Quad),11/14/10 9:46 AM,11/14/10 9:45 AM,Man who has been warned and banned from University property arrested by UCPD,Arrest,W1409
675,Lost Property,5815 S. Maryland (Mitchell Hospital),11/14/10 1:40 PM,11/12/10 to 11/13/10 3:00 PM to 5:00 PM,Patient discovered cell phone missing after she was transferred to another room,Closed,W1410
676,Theft,5815 S. Maryland (Mitchell Hospital),11/14/10 4:51 PM,11/12/10 2:00 PM to 4:50 PM,i-Phone and charger taken from patient's book bag,Open,W1411
677,Fire Alarm,929 E. 57th St. (Gordon Center),11/15/10 12:48 AM,11/15/10 12:48 AM,Alarm malfunction / CFD responded,Closed,W1412
678,Theft,"Dolton, IL - Out of Area",11/15/10 11:45 AM,11/7/10 1:00 AM to 3:00 AM,"Unattended laptop computer, property of UC Charter School was taken by an unknown person",Open,W1413
679,Lost Property,1050 E. 59th St. (Wieboldt Hall),11/15/10 3:03 PM,11/3/10 9:00 AM to 12:00 PM,Woman reported losing her wallet,Closed,W1414
680,Criminal Damage to Property,1115 E. 58th St. (Walker Hall),11/15/10 3:42 PM,11/15/10 7:45 AM to 3:30 PM,Unknown person damaged lock securing bicycle to bike rack,Open,W1415
681,Attempt Robbery,Kimbark between 51st & 52nd,11/15/10 5:59 PM,11/15/10 5:55 PM,Two unknown males armed with a knife attempted to take property from two men walking on the sidewalk / The victims ran into an apartment building and the suspects fled,Open,W1416
682,Criminal Damage to Vehicle,Payne Dr. between 59th & 60th,11/16/10 1:54 AM,11/16/10 1:54 AM,Man smashed window of car parked on the street and entered the vehicle / Arrest by UCPD,Arrest,W1417
683,Theft,5758 S. Maryland (DCAM),11/16/10 1:12 PM,11/16/10 1:12 PM,Unknown person took credit card holder from a woman's purse that was hanging on her chair as she dined in food court,Open,W1418
684,Theft from Motor Vehicle,Stony Island at 58th,11/16/10 3:29 PM,11/16/10 8:00 AM to 3:25 PM,Unknown person pried door of a vehicle parked on the street / took tool box and several tools,Open,W1419
685,Suspicious Activity,59th between Greenwood & University,11/16/10 9:20 PM,11/16/10 6:10 PM,Man reported four unknown males had been following him as he walked on the sidewalk,Closed,W1420
686,Theft,1020 E. 58th St. (Kent Lab),11/17/10 10:08 AM,11/16/10 1:30 PM to 4:30 PM,Unknown person took a wallet from a back pack that was placed in an unsecured locker,Open,W1421
687,Miscellaneous,5815 S. Maryland (Mitchell Hospital),11/17/10 1:49 PM,11/17/10 1:49 PM,"A critically ill, sedated male patient handed a staff member a piece of paper with the word ""rape"" written on it / Unable to interview patient due to his medical condition",Open,W1422
688,Theft,5640 S. University (Bartlett),11/17/10 2:21 PM,10/27/10 3:00 PM,Food services employee arrested by UCPD for theft from cash register,Arrest,W1423
689,Battery,860 E. 59th St. (Goldblatt Pavilion),11/17/10 5:49 PM,11/16/10 3:00 PM,A staff member grabbed another staff member's arm during a discussion,Open,W1424
690,Assault,Kimbark at 54th,11/17/10 6:14 PM,11/17/10 6:00 PM,Two unknown males approached a man walking on the street and threatened him with bodily harm as he ran from them,Open,W1425
691,Theft,929 E. 57th St. (Gordon Center),11/17/10 7:17 PM,11/17/10 1:30 PM to 2:30 PM,Wallet taken from an unattended bag placed in an unsecured room / Subsequent unauthorized use of credit cards reported,Open,W1426
692,Injured Person,Maryland between 58th & 59th,11/17/10 8:29 PM,11/17/10 8:10 PM,"Man tripped on curb and fell injuring his forehead, nose and right hand / Taken to ER / Treated and released",Closed,W1427
693,Public Indecency,54th between Woodlawn & Kimbark,11/17/10 9:41 PM,11/17/10 12:30 PM,Unknown male subject committed a lewd act on the rear porch of a private residence after gaining the attention of the resident,Open,W1428
694,Disturbance,University between 57th & 58th,11/18/10 2:51 AM,11/18/10 2:51 AM,Two people attending a party refused to leave and created a disturbance / Peace restored,Closed,W1429
695,Burglary,1225 E. 60th St. (Mott Building),11/18/10 7:06 AM,11/17/10 to 11/18/10 3:00 PM to 6:45 AM,Unknown person(s) gained entry to building via broken rear window,Open,W1430
696,Burglary,1313 E. 60th St. (Chapin Hall),11/18/10 7:33 AM,11/18/10 4:15 AM,"Unknown person(s) entered building by breaking a rear first floor window / Dell laptop computer, Apple PowerBook laptop computer, $40 cash taken",Open,W1431
697,Theft,5841 S. Maryland (Lying-In Hospital),11/18/10 11:12 AM,10/18/10 5:00 PM,Two people participating in a study took two Actiwatch devices and have failed to return them after several notifications,Open,W1432
698,Criminal Trespass to Land,1020 E. 58th St. (Kent),11/18/10 2:03 PM,11/18/10 2:03 PM,Woman ignored previous warning and was arrested for trespass by UCPD,Arrest,W1433
699,VOID,VOID,VOID,VOID,VOID - Number issued in error,VOID,W1434
700,Theft,969 E. 60th St. (SSA),11/18/10 3:17 PM,11/18/10 2:00 PM to 3:00 PM,Wallet taken from unattended purse in office / Subsequent report of unauthorized use of credit cards,Open,W1435
701,Theft,929 E. 57th St. (Center for Integrative Science),11/18/10 4:05 PM,11/16/10 to 11/17/10 9:00 PM to 6:00 PM,Portable hard drive taken from unattended book bag,Open,W1436
702,VOID,VOID,VOID,VOID,VOID - Number issued in error,VOID,W1437
703,Criminal Damage to Property,Greenwood between 61st & 62nd,11/18/10 8:34 PM,11/16/10 to 11/18/10 4:00 PM to 8:00 PM,Resident discovered two holes in outer pane of his double-pane kitchen window / Possibly caused by pellets,Open,W1438
704,VOID,VOID,VOID,VOID,VOID - Number issued in error,VOID,W1439
705,Felony Theft,Hyde Park between Harper & Lake Park,11/18/10 11:09 PM,11/18/10 11:00 PM,Man entered restaurant grabbed money from open cash register drawer and fled / Arrested by UCPD,Arrest,W1441
